Date,Prix Moyen pondéré (en €/MWh),Volume Total (en GWh Cumac),Nombre de transactions,Type CEE
2009-01-01,2.88,281266,8,Classique
2009-02-01,6.5,25365,9,Classique
2009-03-01,2.92,292587,15,Classique
2009-04-01,3.44,248973,20,Classique
2009-05-01,3.1,52239,19,Classique
2009-06-01,2.76,1027532,55,Classique
2009-07-01,3.08,67086,26,Classique
2009-08-01,3.39,58732,13,Classique
2009-09-01,3.01,1121985,29,Classique
2009-10-01,3.09,95122,11,Classique
2009-11-01,2.99,1039582,17,Classique
2009-12-01,3.3,2083617,58,Classique
2010-01-01,3.7,476721,16,Classique
2010-02-01,3.61,192727,35,Classique
2010-03-01,3.3,988006,68,Classique
2010-04-01,3.86,629464,35,Classique
2010-05-01,3.35,1147682,39,Classique
2010-06-01,3.42,1533316,65,Classique
2010-07-01,3.27,895396,30,Classique
2010-08-01,3.49,408481,21,Classique
2010-09-01,3.71,1259178,50,Classique
2010-10-01,3.48,1432459,33,Classique
2010-11-01,3.34,3984628,51,Classique
2010-12-01,3.41,5401905,48,Classique
2011-01-01,3.83,1072421,34,Classique
2011-02-01,3.71,1185464,38,Classique
2011-03-01,3.8,2489385,56,Classique
2011-04-01,3.85,3102899,48,Classique
2011-05-01,3.88,4872489,58,Classique
2011-06-01,4.02,3799195,67,Classique
2011-07-01,3.94,3175316,49,Classique
2011-08-01,3.5,2461026,37,Classique
2011-09-01,3.89,2239741,49,Classique
2011-10-01,4.05,3161413,43,Classique
2011-11-01,4.09,3686228,57,Classique
2011-12-01,4.16,9836703,96,Classique
2012-01-01,4.17,1561195,29,Classique
2012-02-01,4.31,211555,37,Classique
2012-03-01,4.23,3736278,50,Classique
2012-04-01,4.28,2879354,43,Classique
2012-05-01,4.27,2920982,41,Classique
2012-06-01,4.41,3963093,58,Classique
2012-07-01,4.4,2998091,39,Classique
2012-08-01,4.38,1334915,29,Classique
2012-09-01,4.08,1881082,37,Classique
2012-10-01,4.24,4567993,63,Classique
2012-11-01,4.39,7204767,57,Classique
2012-12-01,4.23,4171226,53,Classique
2013-01-01,3.97,5354199,55,Classique
2013-02-01,3.74,4491054,41,Classique
2013-03-01,3.78,5175567,46,Classique
2013-04-01,3.72,4899017,53,Classique
2013-05-01,3.7,2801188,48,Classique
2013-06-01,3.63,5750074,74,Classique
2013-07-01,3.49,6477671,56,Classique
2013-08-01,3.41,1654958,15,Classique
2013-09-01,3.35,5379566,45,Classique
2013-10-01,3.26,4484464,64,Classique
2013-11-01,2.92,4716467,50,Classique
2013-12-01,2.98,1117316,87,Classique
2014-01-01,2.96,3501483,48,Classique
2014-02-01,3.22,813672,43,Classique
2014-03-01,3.2,4869762,53,Classique
2014-04-01,3.13,6162236,41,Classique
2014-05-01,3.06,547654,38,Classique
2014-06-01,3.12,5771265,51,Classique
2014-07-01,3.07,6473018,54,Classique
2014-08-01,3.07,2415631,16,Classique
2014-09-01,3.16,6702848,51,Classique
2014-10-01,3.14,6338059,49,Classique
2014-11-01,3.15,8857753,62,Classique
2014-12-01,3.2,20181329,99,Classique
2015-01-01,3.15,23186345,50,Classique
2015-02-01,3.09,9964823,49,Classique
2015-03-01,3.05,13012226,65,Classique
2015-04-01,2.95,4609626,57,Classique
2015-05-01,2.89,8691643,45,Classique
2015-06-01,2.83,1751651,144,Classique
2015-07-01,2.59,12045139,80,Classique
2015-08-01,2.68,8146153,45,Classique
2015-09-01,2.33,10187873,71,Classique
2015-10-01,2.21,1354964,118,Classique
2015-11-01,2.23,11790668,109,Classique
2015-12-01,2.26,1696661,87,Classique
2016-01-01,2.37,9893123,45,Classique
2016-02-01,1.73,708499,64,Classique
2016-03-01,1.94,19852409,101,Classique
2016-04-01,1.81,1108041,77,Classique
2016-05-01,1.88,15512302,71,Classique
2016-06-01,1.84,13848304,108,Classique
2016-07-01,1.63,10504001,83,Classique
2016-08-01,1.41,7614374,56,Classique
2016-09-01,1.66,13057123,78,Classique
2016-10-01,1.64,7843651,82,Classique
2016-11-01,1.69,13798282,96,Classique
2016-12-01,1.98,15186704,128,Classique
2017-01-01,2.12,10679986,98,Classique
2017-02-01,2.12,9378566,58,Classique
2017-03-01,2.54,1454633,121,Classique
2017-04-01,2.86,6940503,88,Classique
2017-05-01,2.8,1422253,94,Classique
2017-06-01,3.1,13379503,122,Classique
2017-07-01,3.89,1041048,98,Classique
2017-08-01,3.56,621169,72,Classique
2017-09-01,3.6,11757322,101,Classique
2017-10-01,3.68,15990498,109,Classique
2017-11-01,4.05,1013798,120,Classique
2017-12-01,4.15,17594385,203,Classique
2018-01-01,4.18,4488218,32,Classique
2018-02-01,4.3,7924555,71,Classique
2018-03-01,4.39,878473,108,Classique
2018-04-01,4.03,4621763,67,Classique
2018-05-01,4.49,848269,92,Classique
2018-06-01,4.5,1004375,148,Classique
2018-07-01,4.71,8160317,102,Classique
2018-08-01,5.64,8455627,95,Classique
2018-09-01,5.55,819878,106,Classique
2018-10-01,5.58,8858794,110,Classique
2018-11-01,6.2,9165493,104,Classique
2018-12-01,6.72,14663385,150,Classique
2019-01-01,6.51,11440183,122,Classique
2019-02-01,6.73,10100618,127,Classique
2019-03-01,7.67,8110045,107,Classique
2019-04-01,7.16,1206101,108,Classique
2019-05-01,7.36,13253791,143,Classique
2019-06-01,6.95,16485164,163,Classique
2019-07-01,7.09,17786589,202,Classique
2019-08-01,6.69,13502983,128,Classique
2019-09-01,6.3,13283374,135,Classique
2019-10-01,6.72,20590413,160,Classique
2019-11-01,7.26,21837289,168,Classique
2019-12-01,8.18,27376892,160,Classique
2020-01-01,7.75,14481989,140,Classique
2020-02-01,7.41,11006153,127,Classique
2020-03-01,7.84,15210877,172,Classique
2020-04-01,8.06,16347601,149,Classique
2020-05-01,8.24,10134044,94,Classique
2020-06-01,8.06,7825801,102,Classique
2020-07-01,8.33,15058138,131,Classique
2020-08-01,8.22,5810772,64,Classique
2020-09-01,8.29,17560537,146,Classique
2020-10-01,8.31,1067818,115,Classique
2020-11-01,8.35,16288814,110,Classique
2020-12-01,8.33,29438464,171,Classique
2021-01-01,7.73,19608795,114,Classique
2021-02-01,8.16,10480629,97,Classique
2021-03-01,8.1,22095964,195,Classique
2021-04-01,8.03,11513388,96,Classique
2021-05-01,7.84,11452671,102,Classique
2021-06-01,7.92,20622745,149,Classique
2021-07-01,8.16,1426606,104,Classique
2021-08-01,7.23,10831125,62,Classique
2021-09-01,7.67,32488755,138,Classique
2021-10-01,7.4,24421381,129,Classique
2021-11-01,7.72,31302937,149,Classique
2021-12-01,7.38,29324358,201,Classique
2022-01-01,7.44,19385894,145,Classique
2022-02-01,7.19,26029108,136,Classique
2022-03-01,7.0,28197344,172,Classique
2022-04-01,6.9,9998793,89,Classique
2022-05-01,6.68,173187,95,Classique
2022-06-01,6.65,25978973,167,Classique
2022-07-01,6.67,15118361,91,Classique
2022-08-01,6.56,10638623,73,Classique
2022-09-01,6.58,17756894,100,Classique
2022-10-01,6.58,18422456,91,Classique
2022-11-01,6.47,25870752,134,Classique
2022-12-01,6.93,50831971,253,Classique
2023-01-01,6.83,27163687,147,Classique
2023-02-01,7.27,18003078,122,Classique
2023-03-01,7.1,22636722,164,Classique
2023-04-01,7.19,17851238,107,Classique
2023-05-01,7.19,168557,99,Classique
2023-06-01,7.25,22967311,149,Classique
2023-07-01,7.18,18961252,126,Classique
2023-08-01,7.21,16161665,102,Classique
2023-09-01,7.23,19626888,123,Classique
2023-10-01,0.0,0,0,Classique
2023-11-01,0.0,0,0,Classique
2023-12-01,0.0,0,0,Classique
2017-01-01,4.49,16671783,79,Précarité
2017-02-01,4.45,8672572,59,Précarité
2017-03-01,4.71,9478596,89,Précarité
2017-04-01,4.63,6719482,62,Précarité
2017-05-01,4.72,9752615,61,Précarité
2017-06-01,4.75,13344682,110,Précarité
2017-07-01,4.64,10976925,75,Précarité
2017-08-01,4.92,10447665,73,Précarité
2017-09-01,4.77,11152963,83,Précarité
2017-10-01,4.93,6662969,72,Précarité
2017-11-01,4.86,11862643,109,Précarité
2017-12-01,4.96,18486932,178,Précarité
2018-01-01,4.68,10267445,35,Précarité
2018-02-01,4.91,8310531,52,Précarité
2018-03-01,4.85,8831639,107,Précarité
2018-04-01,5.05,5069913,55,Précarité
2018-05-01,4.89,11554932,76,Précarité
2018-06-01,5.46,9481631,162,Précarité
2018-07-01,5.58,8657406,85,Précarité
2018-08-01,5.86,10943874,94,Précarité
2018-09-01,5.73,9216689,85,Précarité
2018-10-01,5.82,10621792,106,Précarité
2018-11-01,6.43,8907327,89,Précarité
2018-12-01,7.2,11317219,103,Précarité
2019-01-01,6.25,14013426,90,Précarité
2019-02-01,7.47,7624513,78,Précarité
2019-03-01,7.34,6632582,64,Précarité
2019-04-01,7.35,7252344,74,Précarité
2019-05-01,8.18,11264814,93,Précarité
2019-06-01,8.19,1089908,114,Précarité
2019-07-01,7.37,13813902,127,Précarité
2019-08-01,8.04,7840204,66,Précarité
2019-09-01,7.57,9288733,74,Précarité
2019-10-01,8.4,8395558,72,Précarité
2019-11-01,8.0,10748281,80,Précarité
2019-12-01,8.24,17646344,75,Précarité
2020-01-01,8.33,9833077,92,Précarité
2020-02-01,7.84,12956147,98,Précarité
2020-03-01,8.39,12712907,112,Précarité
2020-04-01,8.24,1895891,107,Précarité
2020-05-01,8.17,12807075,84,Précarité
2020-06-01,8.04,6467372,62,Précarité
2020-07-01,8.44,17752123,117,Précarité
2020-08-01,8.3,5829717,44,Précarité
2020-09-01,8.13,11986781,112,Précarité
2020-10-01,8.48,9377581,86,Précarité
2020-11-01,7.96,15716279,87,Précarité
2020-12-01,8.29,21512335,134,Précarité
2021-01-01,8.19,15207047,102,Précarité
2021-02-01,7.84,9117037,70,Précarité
2021-03-01,7.62,22695962,143,Précarité
2021-04-01,8.11,12305681,85,Précarité
2021-05-01,7.55,12012306,80,Précarité
2021-06-01,7.98,13588096,84,Précarité
2021-07-01,8.18,140047,83,Précarité
2021-08-01,7.58,6426329,41,Précarité
2021-09-01,7.69,16151358,102,Précarité
2021-10-01,7.71,16546252,104,Précarité
2021-11-01,7.64,23287128,115,Précarité
2021-12-01,7.29,35323244,158,Précarité
2022-01-01,7.36,1372121,102,Précarité
2022-02-01,7.18,15570575,103,Précarité
2022-03-01,7.09,17641345,125,Précarité
2022-04-01,6.6,12649114,82,Précarité
2022-05-01,6.61,10023743,70,Précarité
2022-06-01,6.43,18122689,120,Précarité
2022-07-01,7.03,12648275,76,Précarité
2022-08-01,6.17,8049398,51,Précarité
2022-09-01,6.57,790706,72,Précarité
2022-10-01,6.53,13403031,78,Précarité
2022-11-01,6.7,17306647,103,Précarité
2022-12-01,7.13,28544281,163,Précarité
2023-01-01,7.25,24767823,127,Précarité
2023-02-01,7.58,11258526,84,Précarité
2023-03-01,7.77,15718459,101,Précarité
2023-04-01,7.4,12439053,67,Précarité
2023-05-01,7.64,16119058,56,Précarité
2023-06-01,7.33,15665916,97,Précarité
2023-07-01,7.26,11065774,81,Précarité
2023-08-01,7.62,11275282,60,Précarité
2023-09-01,7.64,11862627,79,Précarité
2023-10-01,0.0,0,0,Précarité
2023-11-01,0.0,0,0,Précarité
2023-12-01,0.0,0,0,Précarité
